,index,review_id,user_id,business_id,stars,useful,funny,cool,text,date
0,208,651IreQ5u5j2WiVID_HK6A,Zn8uhC3DjoKjjwBiuM8oQg,M0r9lUn2gLFYgIwIfG8-bQ,3,1,0,0,"Average or slightly above, despite the hype.  On the expensive side.  For $10 or $12 you should get fries with your burger, not a large to share for $8.  I had a bison burger. that was the only reason I went there.  Seems we had 1 beer, 1 iced tea, 1 burger, 1 bison burger and split a large fry, for about $37.  Rather ridiculous. And they try to hard to be different or interesting, but ruin a good meal.  The bison burger was tainted with unnecessary slaw and BBQ on it to call it a Carolina bison burger.  Not worth $12 on its own.

Been there.  Done that.  No reason to go back.  Next...",2015-11-06 02:27:35
1,400,3aCWNBbYgO6dv1MjUEVL0g,E1olskL76b9TrcClgD9oBw,M0r9lUn2gLFYgIwIfG8-bQ,4,0,0,0,"A great spot to take out-of-town guests. I take all my Chicago friends here and they fall in love. The burgers are incredible and the boozy shakes are like no other. The first time I had horchata shake I honestly had dreams about it for like a week. It's also super centrally located, a quick walk from Wash Ave and other downtown attractions. Great vibe, although I always prefer to get a table upstairs than sit at the community tables on the ground floor.

The burger selection is really, really great. You can pretty much get whatever your heart desires. I've had mac n cheese patties on my burger, you can get a bison burger, turkey burger, literally anything. I have tried a ton and have never been let down by the flavor combinations. The waiters are always super honest, in a good way. If you ask them what's better, X or Y, they're not going to jerk you around and say they're equally good. They'll give you their honest opinion. LOVE that. 

Another unique aspect about Bailey's Range is that they have a burger showdown (can't remember their technical term for it) where last week's featured burger goes up against a new burger recipe. It's a cool call-out that you don't see at a lot of other restaurants. 

The only reason I gave it a 4/5 star instead of 5/5 is because I've had a couple of instances (out of MANY visits, so it's really not alarming or anything) where I requested my burger medium or medium-rare and it turned out a little well done. I still ate it, but it wasn't really what I expected.",2016-06-22 21:47:29
2,507,ii4RHFJZ3srDe5XlCKEaIQ,cWAKzsMt0iMjBNPuNJVgDQ,M0r9lUn2gLFYgIwIfG8-bQ,4,0,0,0,The burgers were very good very flavorful. I had the El Mariachi. As with what other reviewers have said the portion is not big. But I believe it makes up in flavor. I also have salted caramel ice cream it was very good homemade style. I do recommend the rooster sauce.,2016-08-03 22:45:57
3,525,JaGqBpLhxvC27juhu0lGwA,n2pX5Ae8xCUi2_WlwcTkXQ,M0r9lUn2gLFYgIwIfG8-bQ,5,0,0,0,"I loved this place.  Walking by, I almost didn't go in, because Im a vegetarian and it looked like there was only meat on the menu. I'm glad that I looked closer. They have an excellent veggie burger, a terrific selection of local microbrews and they even make their own ice cream. I would definitely go back here again the next time I visit St. Louis.",2013-08-03 18:25:32
4,1296,NXVHlbvlWcwPaD5Et04uMQ,SQtIhJLfyPCSQvoA-qy4uA,M0r9lUn2gLFYgIwIfG8-bQ,2,1,0,0,"Burger was OK, but not at all worth the price. I felt cramped sitting at the long table surrounded by people I did not know. Service was OK. If they brought the prices way down, it would be better. As it is now, it's a really expensive, mediocre burger. There are much, much better places in St. Louis (both in terms of taste and value).",2014-09-09 18:46:04
5,2287,fw1ZBkJcOfOvWifQ9j8xRw,VwGzHDCtP9aZgXrUmgAajw,M0r9lUn2gLFYgIwIfG8-bQ,3,1,1,1,"Great atmosphere, above average burgers, but super cool drink selection - both alcoholic and non alcoholic.  They have pretty much every kind of soda style you can think of and some really tasty ""spiked"" shakes.  Definitely a fun place to be at no matter what you're feeling.",2012-03-01 03:56:06
6,3248,kuD4VD-njUoBRNXbbisHAg,y5wLD2bvZ91fZnNid8Yh5g,M0r9lUn2gLFYgIwIfG8-bQ,3,0,0,0,Super cute place! Came during lunch and I had the fig salad and it was really good although I'd probably ask for the dressing on the side next time since it was a bit much for me. Would definitely go again for another day date!,2015-08-07 02:23:44
7,3757,IjYGwF1nUUW6eb0LY33qKQ,TS_3tnBpHnlBYAoe978Xww,M0r9lUn2gLFYgIwIfG8-bQ,2,1,0,0,"Took 45 minutes to get the order. Everyone that came in after seemed to get their food before us. Both the burger and the onion rings were cold when i got it, felt like chewing through rubber. After letting them know they did let us have the burgers for free.",2014-05-07 19:38:35
8,4081,6KiUDR5SAELTfT4bukxFVQ,QIogFooFd7UTIEx5iIU5kw,M0r9lUn2gLFYgIwIfG8-bQ,5,2,1,1,"Had dinner at Bailey's Range last night (10/27/11).  My wife and I had the ABC burger and the lamb burger and shared halves...this was a flavor explosionary experience! Everything about both burgers was awesome! The meat was delish, the buns perfect, toppings perfect.

The beer selection is all St. Louis area beer except no AB-InBev products which isnt St. Louis area beer anymore is it? The pickle was like the best pickle I've ever had and the ketchup was great too.  They actually make the pickles and ketchup themselves.  Fries were quite good, kindof a British-style chip, you  know a little translucent.  For soda lovers, they have an amazing array of non corn-syrup selections, i.e., cane sugar.  

Rest assured, I will be back for the wedge salad and the bison burger on another day.",2011-10-27 18:40:47
9,4169,M8qqa7GTy1_S64uRRlnfGg,XBNtqhc72X57VK8GLNbsGg,M0r9lUn2gLFYgIwIfG8-bQ,4,2,1,1,"Good burgers. Not the best ever, but pretty good for a restaurant burger. Extra points for the homemade buns (gluten free and vegan options), and creative choices. The fries were good. And the side salad was tasty too.

All the choices make it kind of hard to choose. I'd like to see them pare down the menu a bit, focus on 5-10 burgers that they can really do well. Some of the choices are so similar too that I don't think it'd be hard to edit  a bit.

Everyone was raving about the soda choice but no Cheerwine? WTF? Maybe Cheerwine really doesn't exist outside of the Carolinas. There was a ""Carolina"" burger on the menu (suspicious that this would really be Carolina style i.e. w/ pulled pork, vinegar sauce, and slaw on the burger, but we'll have to see) but no Cheerwine? That just doesn't seem right.

The ice cream was also delicious. I got a salted caramel shake with whipped cream and chocolate sauce. Every bit of it was delicious, especially the chocolate sauce. Next time might need to get a sundae just for more of that sauce. 

Bonus points for the spicy pickles.",2012-04-28 21:00:35
10,4345,a4Q_TGTbb-vTi6tE3J7C9Q,MxlkrZRxrSdJsPRdg1521A,M0r9lUn2gLFYgIwIfG8-bQ,5,0,0,0,Service has been great both times I've been there. I now crave the ABC burger. Delicious. Save room for a boozy shake. Yum!,2011-11-30 12:23:04
11,4346,X_n2TKWOY-rFGfwSLq92Ug,ua3zAwmTMGvWdBR_rrjuzA,M0r9lUn2gLFYgIwIfG8-bQ,5,0,0,0,"Food was good. I had the weekly champion burger, The Vermont Breakfast. Great! The fries, catsup, and other sauces were good too. Beer selection was good, but JESSICA was the best. Sit at the bar and have faith she'll give you a great experience! Best service I've ever had in my life.",2016-01-30 01:40:54
12,4672,y17wybi8QpRPd3cAXFvn-Q,a4WIm73rjfz1Z9_QGCGmaw,M0r9lUn2gLFYgIwIfG8-bQ,4,0,0,0,"Pricey for burgers and beer but very tasty. Get the rooster sauce for your fries, its a mayonaise flavored  sauce. Cool building and vibe with a modern industrial look. Would have given 5 stars if the beers offerings were larger for the price.",2016-08-03 22:44:48
13,4746,t836MA1XDHg78agHh-vmJA,bdfx_mqNeiYm-UKAkgRnRg,M0r9lUn2gLFYgIwIfG8-bQ,4,0,0,0,Great food. Delicious burger and fries. Shake was good too. Fun environment. I thought the food came REALLY fast. Milkshake a little slower. If you bring kids make sure they aren't afraid of dim lights (they dim them around 7) and noise as the restaurant is very noisy.,2015-08-06 23:24:57
14,4981,fhbtgiJ_8cy8gFdovk1wBw,W5fchLNpH6GmiVxx24zXgg,M0r9lUn2gLFYgIwIfG8-bQ,4,1,0,0,"Bailey's range yet another great product from Mr. Bailey. 

The choice of burgers is great whether you want beef, bison, or chicken.  The beer selection is great loaded with alot of local craft beers. The homemade dipping sauce are all unique and awesome.

This restaurant is great for kids....I repeat great for kids....",2013-05-29 01:22:29
15,5364,wuhBMU96LwAgAzLWeVBvPA,MvjdQ7T9YiBC9bL9fMaN3Q,M0r9lUn2gLFYgIwIfG8-bQ,4,2,1,1,"Stopped by range burger today during Jury Duty.   I've been wanting to go for a while and it was worth the wait
Delish burger with bacon jam. Great atmosphere and a variety of patrons. The guy next to me had a chocolate shake that looked yum!!
The fries were hand cut and the variety of dip sauces was awesome.  I selected one and had the bartender choose my other two.   Really fun atmosphere.  I will be back",2014-02-24 19:27:02
16,6149,D4nZhiYwNAEoSOER0RU78A,mDFeDwPLtG2TERrsR9kudw,M0r9lUn2gLFYgIwIfG8-bQ,4,5,2,3,"Went in about 10pm on a Saturday night, no wait - the place was pretty empty.  We had very prompt, attentive service.  Get ready, their drink menu is really impressive and extensive!  

Food:  

Me - LGBT Burger - Goat cheese, bacon. 

My son - Daves Smoked - Cold smoked patty, fontina cheese caramelized onions

the BF - Ozark - mushrooms, black peppered goat cheese caramelized onions

My son's friend - The Basic - basic burger - +$1 for cheese

All of the burgers were EXCELLENT.  I can only speak for myself, so first of all, all of our food came out HOT, the buns are made in-house and were delicious.  super tasty, nicely toasted and crispy yet soft - i wanted to take some home with me.  The combination of the goat cheese and bacon with the burger was perfect.  I loved it.  It did not need anything else.  I did put some of the chipotle sauce that came with our fries (separate purchase) and it was pretty good, but not necessary.  Burgers were a pretty good size - they were smaller than the bun, but still a good size.  Worth the price?  Sure, this was a quality burger!  My only gripe, however is that the price did not include fries (see below).

No one left a morsel on their plates.  My son's friend ate so fast we actually thought he was a little strange...no one should eat that fast...

Sides:  We ordered two large french fries ($4 each) to share between four people and it was exactly enough.  You have a choice of ""sauces.""   I was not impressed at all - they were just fries, and honestly with burgers starting at about $8 these fries should come with the burgers.  I need to have french fries with my burger, so I will pay every time, but suggest that they re-think this item and make them worth the price and at least make something worth the price like  garlic fries.  These are NOT worth the extra $2-$4.

We also had the Cheese Curds - ok not what I was expecting but it was good.  Not sure what kind of cheese it was but it went really well with the mustard and apples - the bread/crackers however were a nightmare almost funny - they crumbled because they were so thin!  Almost like lace.  They really should be a little thicker.  Again, it was good, but c'mon please be a little more generous with the thickness of the bread/cracker.  

The boys had ice cream, but I won't comment because I did not taste it.  I was too full from the burger.  Hope to on the next trip.  

Overall, we had a great time.  Service was stellar, the place itself is very cute, but I can see how it may be a little awkward if it's packed, especially sitting at the communal table.   Next time we are in St. Louis we will definitely be making a return trip to Bailey's Range!",2011-10-27 13:53:33
17,6218,DtgAEKDOmZISSpuGVfAw2Q,Q6vpjOTgGziXBkyURnUOqQ,M0r9lUn2gLFYgIwIfG8-bQ,4,0,0,0,"Great place for families, and food is fantastic! The recipes are creative and original. We've been there several times and always have a great experience!",2015-08-30 18:54:21
18,6469,LUSZyI-7GdQmx-LktEZQUw,SjiTI7mX1UKdJbPLYeGI_g,M0r9lUn2gLFYgIwIfG8-bQ,4,0,0,0,"Bailey's Range has interesting burgers for any type of person. All the food is good and so are the drinks and milkshakes! The service at the Range has always been phenomenal for me, very friendly and efficient.",2015-01-04 05:11:15
19,6474,1p1HQ_Nh8gfencGNtUefTw,dEfQnSNy5US5FT1o5CMRbg,M0r9lUn2gLFYgIwIfG8-bQ,4,3,0,0,"Well, I must say I was HIGHLY IMPRESSED by Bailey's Range.  The menu, specifically, was most impressive.  It was very hard to decide what to get, cause everything looked great!!  
The server was very friendly, prompt, and attentive.  
The food tasted fantastic, and was cooked just as we ordered it.
The two reasons I didn't give five stars:  
First - The burgers were a little smallish for their price.  If I'm paying $10 for a burger, I want something substantial, and I found the amount of meat a little lacking.
Second - While I realize that there are only so many cooks for so many people (cause the place was pretty crowded), it did take like 45 minutes for our burgers to be ready; and, while I understand that these are gourmet burgers with all sorts of special  ingredients... bottom line is I think that the amount of time it takes meat to cook is sort of universal, and burgers should be a little quicker than that.",2013-08-04 13:28:39
20,6629,D0KixyPG0h55ASBY0yKOsA,srou4DkAZLbVsgAPGqzN-g,M0r9lUn2gLFYgIwIfG8-bQ,5,1,0,1,"I think I am giving it five stars because this place was a real surprise. I have never been to a place like this- just altogether special in decor, service, food and drink... You will not regret swinging by here.

One, the place is adorable. Upon first glance, one might note that it is reminiscent of an old industrial factory, but more like a factory that a group of rag-tag children made into a playhouse. Vibrant color, flowers, natural lights fun stair cases, decorative window panes... Really fun environment. 

Service was a little slow, but considering they were packed to the brim because of our conference I let it slide. Waitress and hostess were really friendly. 

This place has delicious and fresh burgers that come in such unique flavor combinations. I came back a second time just to try another one. First one I had was the Hog-Thai'ed which was a peanut glazed burger served with Thai rice noodles. SOOOOOO GOOOD. The one I had the next day was the American. (If you're worried about your cardiovascular health, please don't eat this one.) it is your classic bacon burger topped with melted cheese and fried Mac-n-cheese. Let's just say it changed me. Fries are amazing and paired perfectly with their unique sauces. Loved the sriracha mayo. A must try. 

They also serve a million types of sodas including draft sodas, shakes (loved the cinnamon shake) as well as boozy shakes which are as wonderful wd they sound. 

If you're looking for THE place in downtown St. Louis, please stop here.",2014-01-18 20:38:35
21,6765,iDTQsiuIiOzIBGcDUEcN9g,RUQkywD4HQv2hvfv69Qq5g,M0r9lUn2gLFYgIwIfG8-bQ,3,0,0,0,"We went to Bailey's Range to have dessert with friends we haven't seen in years from different states. We came on a Thurs night and there was plenty of space to sit, but somewhat busy. We were a party of 11 with little ones. The hostess was super friendly at first and said she would get us a table right away but after we told her we were looking to have ice cream for dessert it took her close to 20 minutes and talking to the manager 2x to finally seat us at the empty very long ""community table"". Ice cream was average nothing special. The only saving grace of this experience was our waitress Alexandra who was super attentive and friendly. If it wasn't for her I would give this place 1 star, but because of her I would give this place another chance if I'm ever back in the area again. Has potential if the hostess and manager can get customer service concept down or be forthright and tell us plainly they don't serve large parties just for dessert so we don't waste our time next time.",2016-07-15 08:32:14
22,7046,SwPkaYHkVJB5gT2O4mq-og,1Twew_ar_EPpb-NHSfcrog,M0r9lUn2gLFYgIwIfG8-bQ,3,2,0,0,"I'm here to echo other's concern for Bailey's slipping quality. I hope this goes beyond management to reach the attention of the ownership. I'll preface by conveying that we did bring most of our concerns to the attention of management and were somewhat compensated. That's the only reason this isn't a 2 star review.

At 2:00-ish on Saturday afternoon with about 40% table occupancy, it was about 10-15 minutes before we were acknowledged by our server who got our drink order (just 2 soft drinks.) About 5-10 minutes later she came back and said she didn't pickup our drinks yet but could take our food order (!!)

Only after we got our food and our table (including kids!) began commenting about the portion size did my wife remind me when we were here last I said I was glad my company was paying!!

I realized I'm getting a bit long winded so...
* Skip the 'gluten free' bun and go breadless, it's poor tasting and falls apart.
* the ""pretzels"" are balls of sweet dough that taste like they were previously frozen and defrosted
* the good news and bad news on the Caesar salad croutons were that they (good) seemed house-made (bad) were badly over-toasted.
* I thought the $5 fries we received were the $3 fries based on the quantity and the table consensus was they could have been a bit crispier/fresher.

The manager only took off the $1 gluten free bun upgrade and the ""pretzels."" He was apologetic and blamed it on being understaffed. 

It didn't seem to be a staffing issue but that everyone from host team to servers were just a bit too laid back about their jobs to help their guests the way a $20+ per guest restaurant should be.",2018-07-07 22:34:48
23,7078,ynvXR2Pf6BSBAD97zrxW6w,d5n7YWztGkm36c2LBQ8Y_w,M0r9lUn2gLFYgIwIfG8-bQ,3,8,3,5,"Oh how I want to like Bailey's Range more!!!

The good:
They have a community table dinner once a month where they have guest chefs come in and create a buffet (different each month).  It costs $20 all you care to eat and all proceeds go to a different organization each month.  Beautiful concept and beautifully executed.

They make their own gluten free bread.

They have the brilliant combo of bourbon, candied bacon, and salted caramel ice cream.  Mmmmm......good.

The not so good:
The gluten free bread leaves a lot to be desired.  Very dense, heavy and super crumbly.  I admire the desire to make things in house but there are way better gluten free bread makers in St. Louis that could provide them with buns.

The burger (ABC burger) was dry and way too overcooked for my taste.  

The price is waaaay too high in my opinion and I left there feeling nickel and dimed for every little thing.


Overall:
I will be back to try again.  Third time's the charm, right?",2012-03-30 18:49:21
24,7086,Lv7dBA2FqpzZ8HKeI5UnUw,NfjVkSRNironQBK0kHNoJw,M0r9lUn2gLFYgIwIfG8-bQ,1,0,0,0,We tried to go here on a Sunday night before a concert.  Got there at 6:30 were on the no wait app.  Said it would be 40 minutes max. We left at 7:40 had not been seated and was told the kitchen was behind.  The last time I was here it took a long time to get our food.  I do not recommend this establishment.,2017-02-20 01:32:59
25,7370,lrPvlkIXuViu8H9ARsBJSQ,c1XHqYtBl5qyeAspzPiCFg,M0r9lUn2gLFYgIwIfG8-bQ,4,2,0,0,"I think I got really lucky on this trip to St. Louis to stumble on lots of really awesome places that I didn't even research before I got there.  A friend I met at the library conference, on the last day, RIGHT before we were about to head to the airport, said, ""Hey, have you guys tried The Range yet?"" 

Hooray for her!  I like burgers and fries as much as the next person, but generally I don't find them a super exciting food.  I would come back here to try more!  Everything is home made (the Sriracha!  The pickles!  The buns!), and reaaaally tasty.  The burger patty was flavorful and tasted like something my mom would make, and I got a fried macaroni and cheese patty on top of my burger.  Yes, a fried mac and cheese patty ON my burger.  

I also love the gigantic list of soda from all around the world (I got black cherry cream soda!), and I wish I had been hungry enough to check out some of the homemade ice cream shakes.  Yummm. 

The atmosphere is cool too, with lots of random quirky decorations, painted milk jugs hanging from the ceiling, windows hung in a gigantic mosaic between the dining room and the kitchen, and more.  The only thing that made me lower this from a five to a four star rating was that they were suuuper under staffed, and things were kinda slow.  The server was really sweet about it and great, but it did take us forever to get our food (and we were huuungry).",2012-11-06 18:16:21
26,7938,WFZYemZ5MdC9Ccgs2w4xiQ,WAzX3AaM6PQfzFJHaUF6xQ,M0r9lUn2gLFYgIwIfG8-bQ,4,0,0,0,"Overall I thought it was a great experience. Service was a bit slow, but the bartenders were doing a good job. Burgers were tasty and fresh. I would definitely recommend this place to try. I would go back for sure the next time I am in the STL.",2017-12-29 22:24:50
27,7985,o_rW2CSFnT3M2YzbDAlUKA,2gWG2KZEhyIXXy5SOiUOZg,M0r9lUn2gLFYgIwIfG8-bQ,3,0,0,0,"As a BIG fan of Bailey's Chocolate Bar (their tiramisu martini is my favorite drink ever!), I really really wanted to love this place too, but I just didn't.  I had a cheeseburger, fries with their cheese sauce, and a peanut butter milkshake.  The burger was okay, and I probably would've liked it better had I not put their homemade ketchup on it before tasting it.  I'm not sure what is up with their ketchup, but I just didn't really care for it.  Too sweet, perhaps?  It just didn't taste quite right to me. The fries were good, as was their cheese sauce.  And the peanut butter shake was amazing.  I did try some of my husband's food and I guess that's partially why I only am giving Bailey's Range 3 stars. He ordered honey mustard sauce with his fries, and there was nothing ""honey"" flavored about it; it just tasted like spicy mustard to me, which neither of us particularly care for.  I won't even get started on the bacon milkshake he ordered and didn't care for, because that's his own fault for ordering something so strange.  In short, I wasn't all that impressed.  If I ever go again, maybe I'll stick with the dessert and skip the food -- either that, or bring my own condiments!",2013-10-04 13:36:05
28,8677,gnFmkTXVLJsmrFazdSRpWQ,aD-xli-bVq6ABWuC_OqWIQ,M0r9lUn2gLFYgIwIfG8-bQ,5,0,0,0,"Great place. Like the loud energy and crowd here. As far as burgers go, this is one of the best I've had I'm STL.

I got the patty melt with chilli cheese fries, both great although I wish the cheese on the fries were real cheese not cheese sauce.

Also tried the 3 chilli chocolate shake. Spicy!",2013-01-28 00:24:04
29,9741,niNMIjVkMfLrZgdztQ3oJA,Rj88JTogoHMKg0wy9t3vhQ,M0r9lUn2gLFYgIwIfG8-bQ,5,0,0,0,"Amazing burgers, craft beers, specialty cocktails and homemade ice cream desserts.  The burgers you have choices of substituting beef, chicken, lamb or bison. They put a spin on everything...even the ketchup. They even have a weekly burger battle where the most ordered burger lives on another week to get challenged by another special contender. 

My son and I spilt a banana split that was simply incredible. A scoop of triple chocolate and one of coconut crunch with a caramelized banana...get outta here!!! You know the melty part of a banana split at the bottom of the bowl that nobody likes...we didn't find it here!!!!",2014-07-13 14:52:28
30,9776,h-TKwxePE0TByWpsuovlcA,h6a1CAlAN-vm-JgwUoWeSg,M0r9lUn2gLFYgIwIfG8-bQ,4,1,0,1,"Raving review from Californian outsider!

I came by for lunch during one of the many crowded conferences I'm sure St. Louis gets (holler, Urbana12!). My friend and I found seats at the bar as others were clearing out (got kind of lucky there), and our server was a delightfully facial haired man who walked us through menu selections and sassed me like we were best friends.

I'm kind of a cheapo, so the pricey burgers were at first a turn off, but I had heard very good things about their specialty burgers from other friends. I helped myself to the basic burger, which I asked for cooked all the way, and was pleasantly not dry at all. You know what else was delightful? Their homemade ketchup! Perfectly sweet and perfectly ketchupy.

The order did take a bit longer to come out than I would have liked, but watching my sassy non-robot server make lots of different drinks for other customers ameliorated the pain of the wait. Thanks Bailey's Range, I'll miss you forever.",2013-01-02 22:42:29
31,9801,_CSgqSuOJlKjUGIWvjH7nw,W9UO0ghofZM4WrFws44nGQ,M0r9lUn2gLFYgIwIfG8-bQ,5,1,0,0,"We are in the middle of a coast to coast road trip, and spent a long day in St. Louis with 3 small kids, so I was grateful to find this place on Yelp.  It was near our hotel, and was a perfect mix of tasty food and kid-friendly in a grown-up environment. Saw lots of couples on dates as well. 

The full-sized power salad was huge and tasty, kids' chicken strips were made from real white meat chicken (and were delicious), and the burgers were amazing. Fries and sides were creative. Service was prompt, friendly, and very welcome after a hot, exhausting day. Ice cream was home-made and creamy. 

Perfect!",2016-06-23 17:20:59
